region,iso3,country,year,forest_area_kha,variable_type
Africa,SYC,Seychelles,1990,34.13,forest_area
Asia,SYR,Syrian Arab Republic,1990,450.99,forest_area
North and Central America,TCA,Turks and Caicos Islands,1990,10.52,forest_area
Africa,TCD,Chad,1990,6730.08,forest_area
Africa,TGO,Togo,1990,1298.06,forest_area
Asia,THA,Thailand,1990,20235.0,forest_area
Asia,TJK,Tajikistan,1990,408.0,forest_area
Oceania,TKL,Tokelau,1990,0.0,forest_area
Asia,TKM,Turkmenistan,1990,2330.0,forest_area
Asia,TLS,Timor-Leste,1990,1100.57,forest_area
Oceania,TON,Tonga,1990,8.73,forest_area
North and Central America,TTO,Trinidad and Tobago,1990,240.9,forest_area
Africa,TUN,Tunisia,1990,643.98,forest_area
Asia,TUR,Türkiye,1990,19783.48,forest_area
Oceania,TUV,Tuvalu,1990,1.03,forest_area
Africa,TZA,United Republic of Tanzania,1990,58165.0,forest_area
Africa,UGA,Uganda,1990,4548.03,forest_area
Europe,UKR,Ukraine,1990,9274.0,forest_area
South America,URY,Uruguay,1990,879.44,forest_area
North and Central America,USA,United States of America,1990,302450.0,forest_area
Asia,UZB,Uzbekistan,1990,2549.37,forest_area
Europe,VAT,Holy See,1990,0.0,forest_area
North and Central America,VCT,Saint Vincent and the Grenadines,1990,28.52,forest_area
South America,VEN,Venezuela (Bolivarian Republic of),1990,50483.58,forest_area
North and Central America,VGB,British Virgin Islands,1990,10.0,forest_area
North and Central America,VIR,United States Virgin Islands,1990,20.41,forest_area
Asia,VNM,Viet Nam,1990,9375.96,forest_area
Oceania,VUT,Vanuatu,1990,990.89,forest_area
Oceania,WLF,Wallis and Futuna Islands,1990,9.63,forest_area
Oceania,WSM,Samoa,1990,176.58,forest_area
Asia,YEM,Yemen,1990,549.0,forest_area
Africa,ZAF,South Africa,1990,19816.56,forest_area
Africa,ZMB,Zambia,1990,47412.0,forest_area
Africa,ZWE,Zimbabwe,1990,16715.38,forest_area
North and Central America,ABW,Aruba,2000,0.49,forest_area
Asia,AFG,Afghanistan,2000,1209.44,forest_area
Africa,AGO,Angola,2000,76013.08,forest_area
North and Central America,AIA,Anguilla,2000,5.5,forest_area
Europe,ALB,Albania,2000,769.3,forest_area
Europe,AND,Andorra,2000,17.29,forest_area
Asia,ARE,United Arab Emirates,2000,314.97,forest_area
South America,ARG,Argentina,2000,53442.22,forest_area
Asia,ARM,Armenia,2000,332.64,forest_area
Oceania,ASM,American Samoa,2000,17.73,forest_area
North and Central America,ATG,Antigua and Barbuda,2000,9.45,forest_area
Oceania,AUS,Australia,2000,132907.29,forest_area
Europe,AUT,Austria,2000,3838.14,forest_area
Asia,AZE,Azerbaijan,2000,987.22,forest_area
Africa,BDI,Burundi,2000,193.94,forest_area
Europe,BEL,Belgium,2000,667.3,forest_area
Africa,BEN,Benin,2000,5674.27,forest_area
North and Central America,BES,"Bonaire, Sint Eustatius and Saba",2000,4.21,forest_area
Africa,BFA,Burkina Faso,2000,6377.97,forest_area
Asia,BGD,Bangladesh,2000,1920.33,forest_area
Europe,BGR,Bulgaria,2000,3375.0,forest_area
Asia,BHR,Bahrain,2000,1.37,forest_area
North and Central America,BHS,Bahamas,2000,509.86,forest_area
Europe,BIH,Bosnia and Herzegovina,2000,2111.65,forest_area
North and Central America,BLM,Saint Barthélemy,2000,0.17,forest_area
Europe,BLR,Belarus,2000,8273.0,forest_area
North and Central America,BLZ,Belize,2000,1503.93,forest_area
North and Central America,BMU,Bermuda,2000,0.78,forest_area
South America,BOL,Bolivia (Plurinational State of),2000,59085.97,forest_area
South America,BRA,Brazil,2000,560720.37,forest_area
North and Central America,BRB,Barbados,2000,6.3,forest_area
Asia,BRN,Brunei Darussalam,2000,397.0,forest_area
Asia,BTN,Bhutan,2000,2606.0,forest_area
Africa,BWA,Botswana,2000,15727.9,forest_area
Africa,CAF,Central African Republic,2000,46084.99,forest_area
North and Central America,CAN,Canada,2000,360305.02,forest_area
Europe,CHE,Switzerland,2000,1196.18,forest_area
South America,CHL,Chile,2000,17424.59,forest_area
Asia,CHN,China,2000,177000.55,forest_area
Africa,CIV,Côte d'Ivoire,2000,6162.62,forest_area
Africa,CMR,Cameroon,2000,21597.49,forest_area
Africa,COD,Democratic Republic of the Congo,2000,153790.31,forest_area
Africa,COG,Congo,2000,22135.0,forest_area
Oceania,COK,Cook Islands,2000,15.57,forest_area
South America,COL,Colombia,2000,62570.34,forest_area
Africa,COM,Comoros,2000,42.78,forest_area
Africa,CPV,Cabo Verde,2000,37.9,forest_area
North and Central America,CRI,Costa Rica,2000,2849.05,forest_area
North and Central America,CUB,Cuba,2000,2699.0,forest_area
North and Central America,CUW,Curaçao,2000,0.07,forest_area
North and Central America,CYM,Cayman Islands,2000,12.93,forest_area
Asia,CYP,Cyprus,2000,171.61,forest_area
Europe,CZE,Czechia,2000,2865.28,forest_area
Europe,DEU,Germany,2000,11354.0,forest_area
Africa,DJI,Djibouti,2000,5.6,forest_area
North and Central America,DMA,Dominica,2000,58.55,forest_area
Europe,DNK,Denmark,2000,571.6,forest_area
North and Central America,DOM,Dominican Republic,2000,2165.8,forest_area
Africa,DZA,Algeria,2000,1708.22,forest_area
South America,ECU,Ecuador,2000,13730.5,forest_area
Africa,EGY,Egypt,2000,3.91,forest_area
Africa,ERI,Eritrea,2000,1591.51,forest_area
Africa,ESH,Western Sahara,2000,539.54,forest_area
Europe,ESP,Spain,2000,17093.93,forest_area
Europe,EST,Estonia,2000,2238.89,forest_area
Africa,ETH,Ethiopia,2000,27809.4,forest_area
Europe,FIN,Finland,2000,22445.64,forest_area
Oceania,FJI,Fiji,2000,1006.47,forest_area
South America,FLK,Falkland Islands (Malvinas),2000,0.0,forest_area
Europe,FRA,France,2000,15288.0,forest_area
Europe,FRO,Faroe Islands,2000,0.08,forest_area
Oceania,FSM,Micronesia (Federated States of),2000,63.86,forest_area
Africa,GAB,Gabon,2000,23701.62,forest_area
Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,2954.0,forest_area
Asia,GEO,Georgia,2000,3038.7,forest_area
Europe,GGY,Guernsey,2000,0.22,forest_area
Africa,GHA,Ghana,2000,6163.36,forest_area
Europe,GIB,Gibraltar,2000,0.0,forest_area
Africa,GIN,Guinea,2000,6532.24,forest_area
North and Central America,GLP,Guadeloupe,2000,72.27,forest_area
Africa,GMB,Gambia,2000,357.87,forest_area
Africa,GNB,Guinea-Bissau,2000,2207.12,forest_area
Africa,GNQ,Equatorial Guinea,2000,2615.58,forest_area
Europe,GRC,Greece,2000,3708.9,forest_area
North and Central America,GRD,Grenada,2000,17.7,forest_area
North and Central America,GRL,Greenland,2000,0.22,forest_area
North and Central America,GTM,Guatemala,2000,4226.66,forest_area
South America,GUF,French Guiana,2000,8079.44,forest_area
Oceania,GUM,Guam,2000,24.0,forest_area
South America,GUY,Guyana,2000,18564.22,forest_area
North and Central America,HND,Honduras,2000,7129.47,forest_area
Europe,HRV,Croatia,2000,1885.0,forest_area
North and Central America,HTI,Haiti,2000,384.2,forest_area
Europe,HUN,Hungary,2000,1921.17,forest_area
Asia,IDN,Indonesia,2000,91958.6,forest_area
Europe,IMN,Isle of Man,2000,3.63,forest_area
Asia,IND,India,2000,67591.0,forest_area
Europe,IRL,Ireland,2000,630.36,forest_area
